model_id,channel_44_1,channel_44_2,channel_44_3,channel_44_4,channel_44_5,channel_44_6,channel_44_7,channel_44_8,channel_44_9,channel_44_10,channel_44_11,channel_44_12,channel_44_13,channel_44_14,channel_44_15,channel_44_16,channel_44_17,channel_44_18,channel_44_19,channel_44_20,channel_44_21,channel_44_22,channel_44_23,channel_44_24,channel_44_25,channel_44_26,channel_44_27,channel_44_28,channel_44_29,channel_44_30,channel_44_31,channel_44_32,channel_44_33,channel_44_34,channel_44_35,channel_44_36,channel_44_37,channel_44_38,channel_44_39,channel_44_40,channel_44_41,channel_44_42,channel_44_43,channel_44_44,channel_44_45,channel_44_46,channel_44_47,channel_44_48,channel_44_49,channel_44_50,channel_44_51,channel_44_52,channel_44_53,channel_44_54,channel_44_55,channel_44_56,channel_44_57,channel_44_58,channel_44_59,channel_44_60,channel_44_61,channel_44_62,channel_44_63,channel_44_64,channel_44_65,channel_44_66,channel_44_67,channel_44_68,channel_44_69,channel_44_70,channel_44_71,channel_44_72,channel_44_73,channel_44_74,channel_44_75,channel_45_1,channel_45_2,channel_45_3,channel_45_4,channel_45_5,channel_45_6,channel_45_7,channel_45_8,channel_45_9,channel_45_10,channel_45_11,channel_45_12,channel_45_13,channel_45_14,channel_45_15,channel_45_16,channel_45_17,channel_45_18,channel_45_19,channel_45_20,channel_45_21,channel_45_22,channel_45_23,channel_45_24,channel_45_25,channel_45_26,channel_45_27,channel_45_28,channel_45_29,channel_45_30,channel_45_31,channel_45_32,channel_45_33,channel_45_34,channel_45_35,channel_45_36,channel_45_37,channel_45_38,channel_45_39,channel_45_40,channel_45_41,channel_45_42,channel_45_43,channel_45_44,channel_45_45,channel_45_46,channel_45_47,channel_45_48,channel_45_49,channel_45_50,channel_45_51,channel_45_52,channel_45_53,channel_45_54,channel_45_55,channel_45_56,channel_45_57,channel_45_58,channel_45_59,channel_45_60,channel_45_61,channel_45_62,channel_45_63,channel_45_64,channel_45_65,channel_45_66,channel_45_67,channel_45_68,channel_45_69,channel_45_70,channel_45_71,channel_45_72,channel_45_73,channel_45_74,channel_45_75,channel_46_1,channel_46_2,channel_46_3,channel_46_4,channel_46_5,channel_46_6,channel_46_7,channel_46_8,channel_46_9,channel_46_10,channel_46_11,channel_46_12,channel_46_13,channel_46_14,channel_46_15,channel_46_16,channel_46_17,channel_46_18,channel_46_19,channel_46_20,channel_46_21,channel_46_22,channel_46_23,channel_46_24,channel_46_25,channel_46_26,channel_46_27,channel_46_28,channel_46_29,channel_46_30,channel_46_31,channel_46_32,channel_46_33,channel_46_34,channel_46_35,channel_46_36,channel_46_37,channel_46_38,channel_46_39,channel_46_40,channel_46_41,channel_46_42,channel_46_43,channel_46_44,channel_46_45,channel_46_46,channel_46_47,channel_46_48,channel_46_49,channel_46_50,channel_46_51,channel_46_52,channel_46_53,channel_46_54,channel_46_55,channel_46_56,channel_46_57,channel_46_58,channel_46_59,channel_46_60,channel_46_61,channel_46_62,channel_46_63,channel_46_64,channel_46_65,channel_46_66,channel_46_67,channel_46_68,channel_46_69,channel_46_70,channel_46_71,channel_46_72,channel_46_73,channel_46_74,channel_46_75
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02208885,-0.021384351,-0.019620176,-0.017082535,-0.01405763,-0.01083167,-0.0076908604,-0.004921408,-0.0036271485,-0.003164441,-0.0037114064,-0.0055220136,-0.0088873245,-0.012777883,-0.016613258,-0.020690193,-0.02445749,-0.027063334,-0.02807793,-0.028853532,-0.029726982,-0.030430268,-0.031417787,-0.03133723,-0.030791942,-0.030407047,-0.030166192,-0.027904924,-0.024374133,-0.020078113,-0.015380719,-0.010773677,-0.005085282,0.00060122093,0.005887245,0.011023194,0.017234083,0.02473446,0.032552183,0.03892257,0.04443887,0.050471745,0.05579472,0.060991578,0.06427608,0.06544259,0.066250116,0.06612894,0.0636635,0.06006775,0.056067783,0.049590368,0.042205255,0.03290717,0.023688782,0.015099832,0.007244585,0.0013087465,-0.004327872,-0.009122565,-0.012419227,-0.014756784,-0.017118577,-0.018768903,-0.020189004,-0.021830225,-0.022121089,-0.02194345,-0.02090443,-0.019210454,-0.016879927,-0.013931259,-0.01038285,-0.006253109,-0.0015604394
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079323035,0.022269757,0.03259064,0.039435074,0.04334318,0.04485508,0.0445109,0.042850755,0.041270416,0.03977398,0.03825865,0.036379218,0.034804247,0.032845557,0.03122075,0.028684892,0.02649716,0.024903292,0.023601694,0.023998505,0.025244256,0.027123375,0.02942538,0.031324137,0.03248404,0.03212344,0.031181669,0.029112784,0.026691388,0.022451283,0.017965754,0.013593543,0.009135614,0.0048576416,-0.00049623,-0.0063015623,-0.012196831,-0.018433645,-0.02395192,-0.029414164,-0.033416074,-0.036315247,-0.03849072,-0.03975387,-0.039373375,-0.03819441,-0.036459845,-0.033959843,-0.03125507,-0.028855214,-0.026825536,-0.025442181,-0.022248061,-0.018929962,-0.015569663,-0.013170492,-0.012028473,-0.011322213,-0.0110690165,-0.012074335,-0.013636782,-0.015360423,-0.017693987,-0.020877715,-0.024296612,-0.02735474,-0.028624618,-0.029477637,-0.029807122,-0.028775897,-0.026054094,-0.021311847,-0.014219296,-0.004446572,0.008336188
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012335116,-0.0047493577,0.001857117,0.0075953635,0.0125764385,0.016911397,0.020711293,0.024087187,0.027325723,0.030493116,0.033543296,0.03612763,0.03876358,0.041920993,0.044922892,0.04714906,0.048748318,0.04928258,0.04856381,0.046234306,0.042887274,0.03817742,0.03294451,0.027194934,0.021425294,0.015593806,0.011116913,0.008706546,0.0071672588,0.0060012797,0.0050767376,0.0042234864,0.003597595,0.0034468924,0.0029017231,0.0012550373,-0.0009470124,-0.003937622,-0.007878869,-0.0130495485,-0.018388754,-0.023355292,-0.028545797,-0.03371932,-0.038345225,-0.041947156,-0.044218767,-0.044921625,-0.045285236,-0.045611266,-0.045690324,-0.045472182,-0.04542053,-0.04516585,-0.04424402,-0.042811695,-0.04088489,-0.03800449,-0.034257147,-0.030208528,-0.026683563,-0.023242932,-0.020435132,-0.018136978,-0.016065858,-0.014075645,-0.012131036,-0.009872979,-0.007408667,-0.0048292675,-0.002138811,0.00065867184,0.0035591496,0.0065585915,0.009652966
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02794544,0.015815355,0.0074388334,0.0022711232,-0.00023252767,-0.00061687175,0.0005733386,0.002793351,0.0048288144,0.0067788763,0.007902817,0.008285571,0.007822031,0.006047658,0.00393626,0.0020723373,3.480965e-05,-0.0018596533,-0.0023489357,-0.0021733276,-0.0012937264,0.0005130135,0.0025222579,0.004994145,0.0071722134,0.010125112,0.012454696,0.014009544,0.01625922,0.018409202,0.019863011,0.020480905,0.021422401,0.021699881,0.021960538,0.022423888,0.022369988,0.022114964,0.023014966,0.025311561,0.02804397,0.03223619,0.03750954,0.042509105,0.04739146,0.052373357,0.05707971,0.059626307,0.060676355,0.05948482,0.056246787,0.051717628,0.046580244,0.040372428,0.034712095,0.029837709,0.024898548,0.020762052,0.01820954,0.017581733,0.017638091,0.017518252,0.017601514,0.017456593,0.017563382,0.01747907,0.01688987,0.016048755,0.015100762,0.013812393,0.012112615,0.009930394,0.007194699,0.0038344949,-0.00022125055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-0.005519852,-0.0037657444,-0.0029911497,-0.0030090944,-0.003632605,-0.0046747085,-0.005948431,-0.007266799,-0.0076635107,-0.007986721,-0.007931854,-0.0077956584,-0.00782206,-0.0075806077,-0.0073234537,-0.006897161,-0.0071283695,-0.007339759,-0.007903384,-0.008451953,-0.008851083,-0.008989021,-0.00881663,-0.009508348,-0.0111728115,-0.014381501,-0.018189676,-0.021509469,-0.025278887,-0.028780604,-0.031975806,-0.03369417,-0.034324314,-0.03436537,-0.03345684,-0.03190861,-0.030358877,-0.030008687,-0.03131161,-0.03391539,-0.03638842,-0.038823295,-0.04186609,-0.044712387,-0.046823706,-0.047783677,-0.048134897,-0.048348214,-0.047810975,-0.047276527,-0.046998028,-0.046868492,-0.047093954,-0.047042422,-0.045778245,-0.044083618,-0.041779112,-0.038928058,-0.035651635,-0.03223885,-0.028726317,-0.025539864,-0.022636916,-0.020471903,-0.018807616,-0.017442279,-0.016575143,-0.015727296,-0.014742788,-0.013644216,-0.012344328,-0.010755872,-0.0087915985,-0.006364254,-0.0033865864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.0066473023,-0.006882694,-0.0059167254,-0.0040185642,-0.00145738,0.0014976587,0.004577383,0.0075126244,0.009875466,0.010810492,0.010534893,0.009561464,0.008087546,0.006272242,0.0049473033,0.0042852126,0.0033112518,0.0028031229,0.002629541,0.0038858796,0.005996737,0.0069663497,0.0073419833,0.0073206015,0.007212973,0.0072799,0.006643046,0.0053840084,0.0049292045,0.004515647,0.0050658262,0.0070287636,0.009334634,0.012364129,0.014670784,0.016216686,0.018146014,0.019471198,0.020010209,0.019947289,0.018205587,0.015855802,0.0141240265,0.012584597,0.012602691,0.013026862,0.01361454,0.014528274,0.015079347,0.016464816,0.017833749,0.01864783,0.019352298,0.01997227,0.019520774,0.01971171,0.020345828,0.022070393,0.02397364,0.025512062,0.027047334,0.02802778,0.02844792,0.028584069,0.027860489,0.02658829,0.024777513,0.022239612,0.018930772,0.014837226,0.0099043595,0.004077556,-0.0026978008,-0.0104763275,-0.019312639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0223682,-0.040904906,-0.05302106,-0.059633963,-0.06166092,-0.060019232,-0.05562621,-0.049399145,-0.04307261,-0.037620887,-0.032649286,-0.029249249,-0.027360743,-0.02653303,-0.026058152,-0.025242656,-0.024269236,-0.023391584,-0.02106875,-0.018263867,-0.014885672,-0.011456181,-0.00830236,-0.0056862035,-0.0032804238,-0.0026465047,-0.0030740038,-0.0046846922,-0.0073801903,-0.009751475,-0.01216668,-0.014686069,-0.016237615,-0.017155848,-0.017154342,-0.016153317,-0.014558067,-0.011748373,-0.008861996,-0.005994039,-0.0032969078,-0.0010031683,0.0010577783,0.0047562215,0.008713469,0.011937309,0.015703365,0.018411968,0.020508882,0.02256258,0.024656532,0.026605507,0.02734673,0.027798887,0.028411929,0.029611863,0.031304974,0.034411564,0.037545934,0.040290125,0.04389777,0.045577794,0.046090003,0.045557734,0.04374855,0.040430225,0.035946034,0.031225769,0.026561199,0.022769947,0.020374022,0.019895434,0.021856187,0.02677829,0.03518375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041839603,-0.03256645,-0.026457842,-0.022978103,-0.02159155,-0.021762503,-0.022955282,-0.024634205,-0.0255153,-0.025455661,-0.024370601,-0.022351211,-0.019516861,-0.015176011,-0.009977869,-0.004487214,0.00081972795,0.0060372935,0.011762652,0.016707644,0.021959024,0.026971975,0.03199711,0.03578368,0.038340796,0.039511424,0.039507277,0.038867168,0.03623476,0.031689297,0.025371546,0.018199895,0.010544663,0.0036183612,-0.0038349926,-0.011442996,-0.018507957,-0.024403395,-0.02872763,-0.031238347,-0.03285049,-0.03386819,-0.03429086,-0.03355102,-0.032074597,-0.030039132,-0.027368419,-0.024382392,-0.022368906,-0.01988551,-0.016610358,-0.01216912,-0.008016369,-0.0040454157,-0.0017888135,0.00031957688,0.0034626806,0.0074113584,0.011555049,0.015604422,0.02009292,0.024717111,0.029674638,0.03499809,0.04004996,0.044251025,0.046760622,0.047733728,0.047119305,0.045342423,0.04245074,0.03849193,0.033513654,0.027563581,0.020689374
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039212722,0.020756079,0.006488105,-0.0041336548,-0.011651657,-0.016608354,-0.019546205,-0.021007663,-0.02269064,-0.023592269,-0.024053985,-0.025292186,-0.026648331,-0.027973687,-0.029048963,-0.030185055,-0.03168243,-0.032348007,-0.032660678,-0.032876357,-0.033334572,-0.032997847,-0.032394122,-0.03136013,-0.030565882,-0.029767096,-0.027544478,-0.025207896,-0.022939436,-0.021413473,-0.020466883,-0.019191474,-0.01929666,-0.019213783,-0.017841054,-0.016072791,-0.01458565,-0.013589777,-0.01156866,-0.0076359576,-0.0026166437,0.0016874926,0.0058886707,0.009696898,0.012911059,0.01642744,0.018720824,0.02086451,0.023232982,0.024766402,0.027112963,0.029286508,0.03182208,0.034033377,0.034906164,0.035117373,0.034857936,0.033617582,0.031968247,0.030078715,0.028126555,0.026077386,0.024353813,0.02311364,0.023060394,0.022637084,0.022065973,0.021099763,0.020011073,0.018767044,0.017352743,0.015753238,0.013953593,0.0119388765,0.009694157,0.04198418,-0.02911663,-0.042632233,0.04198418,0.042632233,0.04198418,-0.042632233,-0.042632233,0.04198418,0.042632233,0.006953529,-0.042632233,-0.010147991,0.04198418,0.042632233,-0.024473188,-0.042632233,-0.04198418,0.04198418,0.042632233,-0.04198418,-0.10832819,-0.04198418,0.04198418,0.042632233,-0.04198418,-0.08101931,-0.04198418,0.04198418,0.019208003,-0.04198418,-0.047868993,-0.04198418,0.04198418,0.04198418,-0.04198418,0.03068146,-0.04198418,0.02911663,0.010147991,-0.04198418,-0.009802877,-0.006953529,0.02911663,0.04198418,-0.02911663,-0.009802877,-0.006953529,0.042632233,0.04198418,-0.04198418,-0.026493022,-0.006953529,0.02911663,0.04198418,-0.010147991,-0.042632233,0.017033264,0.042632233,0.04198418,-0.042632233,-0.042632233,0.04198418,0.042632233,0.04198418,-0.042632233,-0.010147991,0.04198418,0.042632233,0.006953529,-0.042632233,-0.04198418,0.010147991,0.027900925,0.006953529
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
