model_id,channel_44_1,channel_44_2,channel_44_3,channel_44_4,channel_44_5,channel_44_6,channel_44_7,channel_44_8,channel_44_9,channel_44_10,channel_44_11,channel_44_12,channel_44_13,channel_44_14,channel_44_15,channel_44_16,channel_44_17,channel_44_18,channel_44_19,channel_44_20,channel_44_21,channel_44_22,channel_44_23,channel_44_24,channel_44_25,channel_44_26,channel_44_27,channel_44_28,channel_44_29,channel_44_30,channel_44_31,channel_44_32,channel_44_33,channel_44_34,channel_44_35,channel_44_36,channel_44_37,channel_44_38,channel_44_39,channel_44_40,channel_44_41,channel_44_42,channel_44_43,channel_44_44,channel_44_45,channel_44_46,channel_44_47,channel_44_48,channel_44_49,channel_44_50,channel_44_51,channel_44_52,channel_44_53,channel_44_54,channel_44_55,channel_44_56,channel_44_57,channel_44_58,channel_44_59,channel_44_60,channel_44_61,channel_44_62,channel_44_63,channel_44_64,channel_44_65,channel_44_66,channel_44_67,channel_44_68,channel_44_69,channel_44_70,channel_44_71,channel_44_72,channel_44_73,channel_44_74,channel_44_75,channel_45_1,channel_45_2,channel_45_3,channel_45_4,channel_45_5,channel_45_6,channel_45_7,channel_45_8,channel_45_9,channel_45_10,channel_45_11,channel_45_12,channel_45_13,channel_45_14,channel_45_15,channel_45_16,channel_45_17,channel_45_18,channel_45_19,channel_45_20,channel_45_21,channel_45_22,channel_45_23,channel_45_24,channel_45_25,channel_45_26,channel_45_27,channel_45_28,channel_45_29,channel_45_30,channel_45_31,channel_45_32,channel_45_33,channel_45_34,channel_45_35,channel_45_36,channel_45_37,channel_45_38,channel_45_39,channel_45_40,channel_45_41,channel_45_42,channel_45_43,channel_45_44,channel_45_45,channel_45_46,channel_45_47,channel_45_48,channel_45_49,channel_45_50,channel_45_51,channel_45_52,channel_45_53,channel_45_54,channel_45_55,channel_45_56,channel_45_57,channel_45_58,channel_45_59,channel_45_60,channel_45_61,channel_45_62,channel_45_63,channel_45_64,channel_45_65,channel_45_66,channel_45_67,channel_45_68,channel_45_69,channel_45_70,channel_45_71,channel_45_72,channel_45_73,channel_45_74,channel_45_75,channel_46_1,channel_46_2,channel_46_3,channel_46_4,channel_46_5,channel_46_6,channel_46_7,channel_46_8,channel_46_9,channel_46_10,channel_46_11,channel_46_12,channel_46_13,channel_46_14,channel_46_15,channel_46_16,channel_46_17,channel_46_18,channel_46_19,channel_46_20,channel_46_21,channel_46_22,channel_46_23,channel_46_24,channel_46_25,channel_46_26,channel_46_27,channel_46_28,channel_46_29,channel_46_30,channel_46_31,channel_46_32,channel_46_33,channel_46_34,channel_46_35,channel_46_36,channel_46_37,channel_46_38,channel_46_39,channel_46_40,channel_46_41,channel_46_42,channel_46_43,channel_46_44,channel_46_45,channel_46_46,channel_46_47,channel_46_48,channel_46_49,channel_46_50,channel_46_51,channel_46_52,channel_46_53,channel_46_54,channel_46_55,channel_46_56,channel_46_57,channel_46_58,channel_46_59,channel_46_60,channel_46_61,channel_46_62,channel_46_63,channel_46_64,channel_46_65,channel_46_66,channel_46_67,channel_46_68,channel_46_69,channel_46_70,channel_46_71,channel_46_72,channel_46_73,channel_46_74,channel_46_75,Usage
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004443598,-0.005297526,-0.006261758,-0.007337189,-0.008520965,-0.009805667,-0.011178522,-0.012620691,-0.014106683,-0.015603988,-0.017072951,-0.018466989,-0.019733176,-0.02081326,-0.021645118,-0.022164654,-0.022308122,-0.022014797,-0.021229925,-0.019907815,-0.018014932,-0.015532831,-0.012460736,-0.0088176,-0.004643471,0,0.005029998,0.010344005,0.015822303,0.02133145,0.026728647,0.031866781,0.036599979,0.040789332,0.04430861,0.047049537,0.048926458,0.04988008,0.04988008,0.048926458,0.047049537,0.04430861,0.040789332,0.036599979,0.031866781,0.026728647,0.02133145,0.015822303,0.010344005,0.005029998,0,-0.004643471,-0.0088176,-0.012460736,-0.015532831,-0.018014932,-0.019907815,-0.021229925,-0.022014797,-0.022308122,-0.022164654,-0.021645118,-0.02081326,-0.019733176,-0.018466989,-0.017072951,-0.015603988,-0.014106683,-0.012620691,-0.011178522,-0.009805667,-0.008520965,-0.007337189,-0.006261758,-0.005297526,Public
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,-0.050000001,0,Public
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00055545,0.000886232,0.001378262,0.002089287,0.003087072,0.004446081,0.006241515,0.00854053,0.011390993,0.014808821,0.018765556,0.023178451,0.027905477,0.03274738,0.037458099,0.041763511,0.045386877,0.048077919,0.049641293,0.049960013,0.04900993,0.04686274,0.043677043,0.039679002,0.035135802,0.030326346,0.025513481,0.020921579,0.016721806,0.013025867,0.009887547,0.007310205,0.005257826,0.00366722,0.002459284,0.001547937,0.000846048,0.000268323,-0.000268323,-0.000846048,-0.001547937,-0.002459284,-0.00366722,-0.005257826,-0.007310205,-0.009887547,-0.013025867,-0.016721806,-0.020921579,-0.025513481,-0.030326346,-0.035135802,-0.039679002,-0.043677043,-0.04686274,-0.04900993,-0.049960013,-0.049641293,-0.048077919,-0.045386877,-0.041763511,-0.037458099,-0.03274738,-0.027905477,-0.023178451,-0.018765556,-0.014808821,-0.011390993,-0.00854053,-0.006241515,-0.004446081,-0.003087072,-0.002089287,-0.001378262,-0.000886232,Public
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001175887,0.001299556,0.001436232,0.001587282,0.001754218,0.00193871,0.002142606,0.002367946,0.002616985,0.002892216,0.003196393,0.003532561,0.003904083,0.004314679,0.004768458,0.005269961,0.005824208,0.006436745,0.007113704,0.007861858,0.008688698,0.009602495,0.010612398,0.011728514,0.012962013,0.01432524,0.015831839,0.017496888,0.019337051,0.021370746,0.023618327,0.02610229,0.028847491,0.031881407,0.035234403,0.038940039,0.043035399,0.04756147,0.04756147,0.043035399,0.038940039,0.035234403,0.031881407,0.028847491,0.02610229,0.023618327,0.021370746,0.019337051,0.017496888,0.015831839,0.01432524,0.012962013,0.011728514,0.010612398,0.009602495,0.008688698,0.007861858,0.007113704,0.006436745,0.005824208,0.005269961,0.004768458,0.004314679,0.003904083,0.003532561,0.003196393,0.002892216,0.002616985,0.002367946,0.002142606,0.00193871,0.001754218,0.001587282,0.001436232,0.001299556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private
5,-0.001175887,-0.001299556,-0.001436232,-0.001587282,-0.001754218,-0.00193871,-0.002142606,-0.002367946,-0.002616985,-0.002892216,-0.003196393,-0.003532561,-0.003904083,-0.004314679,-0.004768458,-0.005269961,-0.005824208,-0.006436745,-0.007113704,-0.007861858,-0.008688698,-0.009602495,-0.010612398,-0.011728514,-0.012962013,-0.01432524,-0.015831839,-0.017496888,-0.019337051,-0.021370746,-0.023618327,-0.02610229,-0.028847491,-0.031881407,-0.035234403,-0.038940039,-0.043035399,-0.04756147,-0.04756147,-0.043035399,-0.038940039,-0.035234403,-0.031881407,-0.028847491,-0.02610229,-0.023618327,-0.021370746,-0.019337051,-0.017496888,-0.015831839,-0.01432524,-0.012962013,-0.011728514,-0.010612398,-0.009602495,-0.008688698,-0.007861858,-0.007113704,-0.006436745,-0.005824208,-0.005269961,-0.004768458,-0.004314679,-0.003904083,-0.003532561,-0.003196393,-0.002892216,-0.002616985,-0.002367946,-0.002142606,-0.00193871,-0.001754218,-0.001587282,-0.001436232,-0.001299556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public
6,1.68E-05,2.56E-05,3.85E-05,5.73E-05,8.44E-05,0.000122841,0.000176793,0.000251562,0.000353903,0.000492246,0.000676922,0.000920352,0.001237166,0.001644222,0.002160488,0.002806738,0.003605044,0.004578024,0.005747834,0.007134918,0.00875654,0.010625142,0.012746637,0.015118727,0.017729377,0.020555615,0.023562759,0.026704257,0.029922202,0.033148609,0.03630745,0.03931741,0.042095218,0.044559393,0.046634197,0.048253454,0.049364079,0.049928941,0.049928941,0.049364079,0.048253454,0.046634197,0.044559393,0.042095218,0.03931741,0.03630745,0.033148609,0.029922202,0.026704257,0.023562759,0.020555615,0.017729377,0.015118727,0.012746637,0.010625142,0.00875654,0.007134918,0.005747834,0.004578024,0.003605044,0.002806738,0.002160488,0.001644222,0.001237166,0.000920352,0.000676922,0.000492246,0.000353903,0.000251562,0.000176793,0.000122841,8.44E-05,5.73E-05,3.85E-05,2.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050000001,-0.048666667,-0.047333334,-0.046,-0.044666667,-0.043333333,-0.041999999,-0.040666666,-0.039333332,-0.037999999,-0.036666665,-0.035333332,-0.034000002,-0.032666668,-0.031333335,-0.029999999,-0.028666666,-0.027333334,-0.026000001,-0.024666667,-0.023333333,-0.022,-0.020666666,-0.019333333,-0.017999999,-0.016666668,-0.015333333,-0.014,-0.012666667,-0.011333333,-0.01,-0.008666666,-0.007333333,-0.006,-0.004666667,-0.003333333,-0.002,-0.000666667,0.000666667,0.002,0.003333333,0.004666667,0.006,0.007333333,0.008666666,0.01,0.011333333,0.012666667,0.014,0.015333333,0.016666668,0.017999999,0.019333333,0.020666666,0.022,0.023333333,0.024666667,0.026000001,0.027333334,0.028666666,0.029999999,0.031333335,0.032666668,0.034000002,0.035333332,0.036666665,0.037999999,0.039333332,0.040666666,0.041999999,0.043333333,0.044666667,0.046,0.047333334,0.048666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050000001,-0.047333334,-0.044666667,-0.041999999,-0.039333332,-0.036666665,-0.034000002,-0.031333335,-0.028666666,-0.026000001,-0.023333333,-0.020666666,-0.017999999,-0.015333333,-0.012666667,-0.01,-0.007333333,-0.004666667,-0.002,0.000666667,0.003333333,0.006,0.008666666,0.011333333,0.014,0.016666668,0.019333333,0.022,0.024666667,0.027333334,0.029999999,0.032666668,0.035333332,0.037999999,0.040666666,0.043333333,0.046,0.048666667,-0.048666667,-0.046,-0.043333333,-0.040666666,-0.037999999,-0.035333332,-0.032666668,-0.029999999,-0.027333334,-0.024666667,-0.022,-0.019333333,-0.016666668,-0.014,-0.011333333,-0.008666666,-0.006,-0.003333333,-0.000666667,0.002,0.004666667,0.007333333,0.01,0.012666667,0.015333333,0.017999999,0.020666666,0.023333333,0.026000001,0.028666666,0.031333335,0.034000002,0.036666665,0.039333332,0.041999999,0.044666667,0.047333334,Private
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050000001,-0.048666667,-0.047333334,-0.046,-0.044666667,-0.043333333,-0.041999999,-0.040666666,-0.039333332,-0.037999999,-0.036666665,-0.035333332,-0.034000002,-0.032666668,-0.031333335,-0.029999999,-0.028666666,-0.027333334,-0.026000001,-0.024666667,-0.023333333,-0.022,-0.020666666,-0.019333333,-0.017999999,-0.016666668,-0.015333333,-0.014,-0.012666667,-0.011333333,-0.01,-0.008666666,-0.007333333,-0.006,-0.004666667,-0.003333333,-0.002,-0.000666667,0.000666667,0.002,0.003333333,0.004666667,0.006,0.007333333,0.008666666,0.01,0.011333333,0.012666667,0.014,0.015333333,0.016666668,0.017999999,0.019333333,0.020666666,0.022,0.023333333,0.024666667,0.026000001,0.027333334,0.028666666,0.029999999,0.031333335,0.032666668,0.034000002,0.035333332,0.036666665,0.037999999,0.039333332,0.040666666,0.041999999,0.043333333,0.044666667,0.046,0.047333334,0.048666667,-0.050000001,-0.048666667,-0.047333334,-0.046,-0.044666667,-0.043333333,-0.041999999,-0.040666666,-0.039333332,-0.037999999,-0.036666665,-0.035333332,-0.034000002,-0.032666668,-0.031333335,-0.029999999,-0.028666666,-0.027333334,-0.026000001,-0.024666667,-0.023333333,-0.022,-0.020666666,-0.019333333,-0.017999999,-0.016666668,-0.015333333,-0.014,-0.012666667,-0.011333333,-0.01,-0.008666666,-0.007333333,-0.006,-0.004666667,-0.003333333,-0.002,-0.000666667,0.000666667,0.002,0.003333333,0.004666667,0.006,0.007333333,0.008666666,0.01,0.011333333,0.012666667,0.014,0.015333333,0.016666668,0.017999999,0.019333333,0.020666666,0.022,0.023333333,0.024666667,0.026000001,0.027333334,0.028666666,0.029999999,0.031333335,0.032666668,0.034000002,0.035333332,0.036666665,0.037999999,0.039333332,0.040666666,0.041999999,0.043333333,0.044666667,0.046,0.047333334,0.048666667,Private
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050000001,-0.048666667,-0.047333334,-0.046,-0.044666667,-0.043333333,-0.041999999,-0.040666666,-0.039333332,-0.037999999,-0.036666665,-0.035333332,-0.034000002,-0.032666668,-0.031333335,-0.029999999,-0.028666666,-0.027333334,-0.026000001,-0.024666667,-0.023333333,-0.022,-0.020666666,-0.019333333,-0.017999999,-0.016666668,-0.015333333,-0.014,-0.012666667,-0.011333333,-0.01,-0.008666666,-0.007333333,-0.006,-0.004666667,-0.003333333,-0.002,-0.000666667,0.000666667,0.002,0.003333333,0.004666667,0.006,0.007333333,0.008666666,0.01,0.011333333,0.012666667,0.014,0.015333333,0.016666668,0.017999999,0.019333333,0.020666666,0.022,0.023333333,0.024666667,0.026000001,0.027333334,0.028666666,0.029999999,0.031333335,0.032666668,0.034000002,0.035333332,0.036666665,0.037999999,0.039333332,0.040666666,0.041999999,0.043333333,0.044666667,0.046,0.047333334,0.048666667,0,0.004183892,0.008338437,0.012434495,0.016443333,0.020336833,0.024087684,0.027669577,0.031057389,0.034227356,0.037157241,0.039826497,0.042216398,0.044310179,0.046093158,0.047552824,0.048678946,0.049463615,0.049901336,0.049989033,0.049726095,0.049114361,0.048158128,0.0468641,0.045241352,0.043301269,0.04105746,0.038525663,0.035723634,0.032671031,0.029389262,0.025901351,0.02223176,0.018406227,0.014451589,0.010395585,0.006266661,0.002093783,-0.002093783,-0.006266661,-0.010395585,-0.014451589,-0.018406227,-0.02223176,-0.025901351,-0.029389262,-0.032671031,-0.035723634,-0.038525663,-0.04105746,-0.043301269,-0.045241352,-0.0468641,-0.048158128,-0.049114361,-0.049726095,-0.049989033,-0.049901336,-0.049463615,-0.048678946,-0.047552824,-0.046093158,-0.044310179,-0.042216398,-0.039826497,-0.037157241,-0.034227356,-0.031057389,-0.027669577,-0.024087684,-0.020336833,-0.016443333,-0.012434495,-0.008338437,-0.004183892,Public
